,pred_str,text
0,agnäm mit temperature send än zistier warde,ahgnähmi temperature send abem zischtig zerwarte
1,sesch as be grosotergange ond gseit grossemuettervasescht uf för grossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,ezgidansinen jorka wo sech ne edetiordäfä well miemer tinizatifenergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,fener het sond zwoei alpptrie benniger gähn doch ääl het sie susmetlerwilevechauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dierptreztne pwe qw ws,die erföllt drichtlinie fode who mühelos
5,decekttwüt es böspele tenebeine ond dötet es bar on beteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grosssi ahtstel fosine ufdragöbereschüdisht em glaube gsi ond dodemet emnahte heöusgset,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochagechenitwenter dorchus stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nach els der werdacho esch esch erem ächisch he rot ond statthalter fomersebor gse,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s chissm heit dodor au i morde izoghalte ond deen zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie sentemetdechtverchnöfti franze ovietecke kuatleverziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini better wärde als gnüst verändet,au sini blätter wärde als gmües verwändet
12,bsonder sederomandi nt digrüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,deusgang fode stadttrotswal em kane ond gänfescnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächtediisgie e siede palemänti,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hofstätter klimaschoeksbärter bvevef schwiz esch aber ent tüscht fode konferänzemadrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lö sech bruef studiom ond aktivi politik beser veribahre,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het den stergno onder ecki buchfom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letsche täg sen en au shtralli e zwarshtortzuet odrisgi hagel chöner fom hemmel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,owode sonerferbiesche erplegrelle ond heugönprontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,onm biordiversitätide scstotzsneg guet velitier ond flanzsarte sid gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,dibs biichals dognanti sprachtzutex ensin gsprochnigse äiti texstkommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,wen genaflake zemesctmoessodesch loht sech nömme lofeschtstele,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,aubemene ufänglech etziglosszeit er ändlechemald menig,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,doterfobe heter sech zom köniastergeffe,dodrufabe heter sech zom könig lo usrüefe
25,ene aupffochorezietstwelle di betrofene ställe ah wär de heiz rot ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händjezte äftig norweschtström wo d störigi esbeses mettelmerumine brengt,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,deua ond at foralteregioneblibesonnig,de jura ond au dvoralperegione bliebe sonnig
28,ielech fsonöberhonte isdusig geist de barocksell fode stefzbeblotik,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,oi gure aber au khase stane tatare oder kepfise,uigure aber au kasachstane tatare ond kirgise
30,ich bevenelage ond dranglasiert worde globt ond belnt,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de techno kaark esch es paradis verstardabonternähma ond jongni döfteler wo irentwecklig zom dwoch boch verhälvaänd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es set ifürs si abere grossi schonse velli vo ine anzskole wäffe wen au i chorze zit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,s onden losträte vfogenleche wo ets grossipae es schwetze breinge,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,esteref beeitet snationaltin hut nöcht dordwm ond segt xprlosivf beldert vode schwizerlichtatletine ond echdatlete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es warded emer ofdech,ond es wartet niemert of dech
36,ich ameni härzedikeit net estellewendubrüersch os wärdisärzbroche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,eris er emmer allesäg,er esst mer emmer alles weg
38,es send d bärnech haftwäch swälper gsi wo d aschaffe beschlos de händ,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem het er sie agsto ond het de prozas onsachlech güerd,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
40,edem familliedrama wehrden stüritriperpoteretie bo bescholdigwerd bestächig szalder agnotzhah,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
41,de meeszen ond diallöck sindi provisiert worde,die meiste szene ond dialög send improvisiert worde
42,i beda stöck rätd nachminelunaminowisiere,ich be das stöck grad nach minere lune am improvisiere
43,ueerltrceduteeglzdteüeuetmehwleuüplüwulrlrclguäugt,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
44,er esch neme wellekarewil sies föeweto het,er esch nöme velo gfahre well sis födli weh do het
45,seom het senase grebe,sam het sech dnase grebe
46,kenaso hane gloht wonedershti gsehan,genau eso hani gluegt woni de ersti gseh han
47,her het d handusgsteckt ond em schin ode lanpa hanigseh da zwöif fo sineöche lufgschöftzengsi ond platet händ,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
48,usglent hani s gstolle,usglehnt hanis ned gstohle
49,wens aberstehrlnt o scheit esch de frielignömme wit,wens aber störmt ond schneit esch de früehlig nöme wit
50,zi tans me jiertot örzalt,sie tanzt met jedem wo deför zahlt
51,me wärde warshelech alli onbehofbersi,mer wärde wahrschindlech alli onbeholfe si
52,unnoblibserhaute und zwarbis mitti nami,d sunnä blibt üs erhautä und zwar bis mitti nami
53,oder hutkontakt mit denä öhl isch gsundheitlech un bedänklech,o dr hutkontakt mit denä öl isch gsundheitlech unbedänklech
54,dert wärdär bsunders dachbaukä  schtandteilä verbärghütä produziert,dert wärdä bsunders dachbaukä und beschtandteilä für bärghüttä produziert
55,äer isch einä voä mitbegründeär vom jungä dütschwir schpiuviun,är sich einä vodä mitbegründer vom jungä dütschschwizer schpiufium
56,aus fro hetisech d nüglechkeit voä habil dationmüsse ecgämfvä,aus frou hetsi sech d müglechkeit vorä habilitation müesse erkämpfä
57,d baarbeuzisch vürnr reiä vo tier artä segrüntlech ungersuecht wordä,d paarbiudig isch fürne reihe vo tierartä sehr gründlech ungersuecht wordä
58,näue scher i di damälig volkzenä intä griert wortä ond disch zumänä bekantä fingerpickingitarischt wordä,schnäu ischer idi damaligi folkszenä integriert wordä und isch zumene bekanntä fingerpickinggitarrischt wordä
59,lut em wirtschafts edikerthomas beschner wärdä ungernämä zuenäm zupolitischaktörä,lutem wirtschaftsethiker thomas beschorner wärdä ungernähmä zuenähmend zu politischä akteurä
60,äer isch gwaut wordä trotzdä däizit wo ihm si aahkaschtät wordä,är isch gwäut wordä trotz dä defizit wo ihm si aaglaschtet wordä
61,d grosmues und s rot chäp die schnabi erbäedi,d grossmueter und s rotchäppli die schnappimer beidi
62,das i di besc a gsee,dassi di besser cha gseh
63,lanertschaft flächä gä s landschaftspiut vom schwizermittuland,landwirtschaftsflächä prägä s landschaftsbiud vom schwizer mittuland
64,breid blättriksch nabächut dia orcheiä ischi schwiz gschützt,breitblättrigs chnabächrut  die orchideä isch ir schwiz gschützt
65,wo obstpöeim shtö cha i regumässig gartävögu wie der gartärord schanz oder be schpächt beobachtäzwärdä,wo obschtböim schtö chöi regumässig gartävögu wi dr gartärotschwanz oder dr schpächt beobachtet wärdä
66,ä knau gaupäv schmätterni flattere übertwisä,ä knaugäubä schmätterling flatteret überd wisä
67,die trisg kuadratmetter grossi landwitschaft chöimer necknaturschutzlehrbuechpflegä,die drissg quadratmeter grossi landwirtschaft chöimer nid nach naturschutzlehrbuech pflegä
68,es siminträssä vorwüssäschaft wemetodä vor komplementärmäditin wüssäschaftlich erforscht würdä,es sig im inträssä vor wüssäschaft we methodä vor komplementärmedizin wüssäschaftlech erforscht würdä
69,abnünzhät drüesächzg isch d verwändig vradi und verbotä wordä,ab nünzähdrüäsächzg isch d verwändig vo radium verbottä wordä
70,in loseinscheless gsächä jogendlechi en durcschnit vier aukohou wärbigä amn tag,in los angeles gsächä jugendlechi im durchschnitt vier aukohouwärbigä am tag
71,d lindä isch bis i mereri meterhöchi mit chnoä bülä und wucherigä überseit,d lindä isch bis i mehreri meter hööchi mit chnouä bülä und wucherigä ubersäit
72,dr abrschpiler bei isch blitz schnau fürä gschossä und het perchofffbau vo ändet,dr abwehrschpiler beier isch blitzschnäu fürägschossä und het per chopfbau vouändet
73,ä schtürnischä herbä bring dugwitter und chauti luft,ä schtürmische herbscht bringt viu gwitter und chauti luft
74,di dänschi reägierig wo dmitino fämber birireis vo schvedä nach dänemarkä gränkontrouuäiefüehrä,die dänischi regierig wott mitti novämber bir iireis vo schwede nach dänemark wider gränzkontrouä iifüehrä
75,so sigab in china mitdr asiaischä infraschtrucktur in westment bänk ä gägenentwurch zum iwf entstandä,so sig öppä in chinä mit dr asiatischä infraschtruktur investmentbank ä gägäentwurf zum iwf entschtandä
76,handlt sechs drbi um meh aus mo ma nachheivä angerrricht,handlet sechs drbi um me aus numä nachhiufeungerricht
77,s noubordä  hüäpunkt undiaduusigwändi ereicht mittlerwillä nämedzala vos noubortfahre tendenzeel ab,s snowboardä het si höhepunkt umd jahrtuusigwändi erreicht mittlerwilä nämä d zahlä vo snowboardfahrer tendenziell ab
78,und i schtobt eronalgo,und wi schtopptmä dr ronaldo
79,am suntig und aäntig zitwiis sunnig,am sunntig und am mäntig zitwiis sunnig
80,si schef bezechiär aus gutä fründ,si chef bezeichnet är aus guetä fründ
81,umä swöt ändlech mit der subventonierig vo ossilä brönd sctoffä ufhöä,und mä sött ändlech mit dr subventionierig vo fossilä brönnschtoffä ufhörä
82,es isch aber chumz erwartä das d nashäti rundfüfezwänzg milliardä us toller zusätzlech bechunt wo si fürdäs brojektkalkulert het,es isch aber chuum d erwartä dass d nasa die rund füfäzwänzg milliardä usdollar zuesätzlech bechunnt wosi für das projekt kalkuliert het
83,im beirt macht r dr paornäp ufem betribseigenä wese,im betriib machter dr powernap ufm betriibseigene wc
84,no bätrei hiet iticki sächsunderbis sibähunderdmeter,no betreit hie d iisdicki sächshundert bis sibähundert meter
85,s märner soztiauamt isch am mäntig vormittag fünrneä stellignam nid ereichbarsi,s bärner soziauamt isch am mäntigvormittag fürnä schtellignahm nid erreichbar gsi
86,gopola het sä  angeri uhnabhängigi schtudios aglegt,coppola hetsech no angeri unabhängigi schtudios aagluegt
87,dänä het sis ch ä nöuii extischtänzmüssä ufbuuä,dänä hetsisech ä nöii exischtänz müesse ufbouä
88,het sec für voriligi bemerki gschänt,si hetsech für iri voreiligi bemerkig gschämt
89,bring hägseivach um und brsierdermit hetzseit,bring die häx eifach um und pressier drmit hetsi gseit
90,ziet säch nieder vo erht,si hetsech nie drvo erhout
91,vilech gwinni im närchschtä kampf ei dagseit,vilech gwinni im nächschtä kampf het dr scida gseit
92,und ja isch pa ostringegaut,und ja i schparä o s trinkgäud
93,du heschnä gä und das gschputer,du heschnä gärn und das gschpürter
94,du gamts isch sollikt winä fäderä,du tanzisch so liecht winä fäderä
95,dr staudan siti rsbiegigeichugeläenk ensto,dr staudamm sötti in dr flussbiegig aicher gelenk enstoh
96,mir hän vilme rauliche daumänd ztlue,mir hän viel mit vertrauliche dokumänt z due
97,zette get in esche übal,zecke gits inzwüsche überall
98,aber der fvogel und au d koioteä und bäre sind im rezänte ekrbissefärm blibe,aber dr vogel und au d kojotä und bäre sind em rezänte leckerbissä färn bliibe
99,für ganbosimehregos sind die relatif kine a goarie gansiche problematisch,für ganz grossi meeressüüger sind die relativ kliine aquarie ganz sicher problematisch
100,eiantwort isch nid begantwade,ei antwort isch nid bekannt worde
101,noch zweiollpische mintallie und zwei weltmeister titel het dr gündepfeinigs sri laufban beänmded,noch zwei olympische medallie und zwei wältmeistertitel het dr gündepfennig sini laufbahn beändet
102,dr vorsag es odr rumänische elite understültzt warde,dr vorschlag isch vo dr rumänsiche elite unterstützt worde
103,vo de örtus isch s witer ubärts gange,vo dört us isch es wiiter ufwärts gangä
104,in juzärn hämm an istig moei hochnäbel,in luzärn hänmr am zistig morge hochnäbel
105,aber nurds ie stu sördere wird nüt ändere,aber nur d priester z fördere wird nüd ändere
106,vodäne händ säkse achü kommiunünprozänt e ross uhnschnocheräa partnerschaft,vo däne händ ganzi sächseachzigkommanün prozänt än grosse wunsch noch äre partnerschaft
107,wor au immer de polanzgi mit de neus devärg presänt isch chunszukontorverse,wo au immer de polanski mit sim neuste wärk presänt isch chunnts zu kontroversä
108,drum stöntheme wie nuchhaltikeit und seilbesbesctimig vo de lokale arffrikanische bevölkerig im zentrum,drum stön theme wie nochhaltigkeit und säbstbestimmig vo dr lokale afrikanische bevölkerig im zentrum
109,ich e überzük de vor das un de junge mensche ihri ahlige au und der breite we,ich bi überzügt devo dass uns die junge mensche ihri ahliege au unterbreite wän
110,drotzdäm het sich bim temazwuanderigt iistelig bändured,trotzdäm het sich bim thema zuewanderig d ihstellig gänderet
111,serste molssiitr ssor nün zesebene achzigachachzig gön wider alli viers bidkbestalkhogele indtschwi,s erste mol siit dr saison nünzähsiebeneachzigachteachzig gön wieder alli vier speedkristallkugele in d schwiiz
112,du wartisch bisma tosind,du wartisch bis mir do sind
113,si het em äfach tür züegnalt,si het em eifach d tür zuegknallt
114,am zistif und mitwuch nor zum teilsunnig ige mein schwiel und gwitterhaft,am zistig und mittwuch nur zum teil sunnig allgemein schwüel und gwitterhaft
115,hunderdi höischreke sitze ufem fäeilt fast ussieslich uffenander si parä sich legeeie,hunderti heuschrecke sitze uf em fäld fast ussschliesslich ufenander si paare sich lege eier
116,ä bispiel dr schffr verpoti uszühri het imrktobuzweidusigundnze für de jungis vapikenditiert,ä biispiel dr jeffrey ferpozzi us züri het im oktober zweituusigundnünzäh für die jungi svp kandidiert
117,vellicht zin wägedäm im schrebegarte im bro der holz bebasel fast mekantonsflacgezgse as schwizerfahne,villicht sin wäge däm im schrebergarte im bruederholz bi basel fast mehr kantonsflagge z gseh als schwiizerfahne
118,r jedem faul reft d mängi sofvod us der schizrichtr het gäei zit zum reagiere,noch jedem foul rüeft d mängi sofort us dr schiidsrichter het kei ziit zum regaiere
119,si sölle unde wassermangelglitte har drunt bät de sit zuder mueter gotus,si sölle unter wassermangel glitte ha drum bätte si zu dr mueter gottes
120,die erelektrischigletise hännr ghei t hermr stat gha,die erste elektrische glättiise händ no kei termostat kah
121,wo si si ernud ihhole raesi e gstohles farzüg merfacht mit vollurwucht,wo si se erneut ihhole ramme si ihr gstohles fahrzüg mehrfach mit voller wucht
122,ä kugele isch nuchnäe ihm in de bpfoste vobevorbäldach gschlage die andri hetenwit verfelt,ä kugele isch noch näbe ihm in de pfoste vo me vorbau dach gschlage die anderi het en wiit verfehlt
123,mitde nanteridet häwo,mitänander gredet hänmr
124,wens aber strümter schneit isch dr frgelig nöbewit,wenns aber stürm und schneit isch dr früehlig nümme wiit
125,äbewus derächtsoch  är aart tollurierich nit,ä bewusste rächtsbruch vo däre art tolerier ich nid
126,ar um armt sifet,är umarmt si fest
127,ie ra mado verd otzis handräkg,ihre maa do verstoht sis handwärk
128,das kalich mühet leiste  ich ihm am mänt hat dberschaffe,das ka ich mir hüt leiste will ich im momänt hart due schaffe
129,si isch and s bet vur grosoter kiga ond het gseit grossmuoaoter was hes t ufür grosi ora,sie isch an ds bett vur grossmuater ganga und het gseit grossmuater was hesch du für grossi ohra
130,alei met dr eigna forschig und entwigligschaff en armamulpis das nit,allei mit dr eigna forschig und entiwcklig schaffen d pharmamultis das nit
131,snna wind dr stetigi strom po gladna teili wo zsunna ins allent lot wirt in sitigna fält im sunnasturm,dr sunnawind  dr stetigi strom vu gladena teili wo d sunna ins all entloht  wird in söttigna fäll zu nem sonnasturm
132,diart härend sech vorischt vo hoigümper und klina eidexa,dia ernährend sich vorerst vu heugümper und klina eidechsa
133,binera biation vem gefieder feldieh schwarts sprenkklig und lekig,binara variation vum gefieder fehlt dia schwarz sprenklig und fleckig
134,s geffieder  allgeme stunkf schwarz gsi,ds gefieder isch allgemein stumpf schwarz gsii
135,bi der swiskom sint dervartiga hör als bi da andera abüter,bi dr swisscom sind d erwartiga höher als bi da andera abüter
136,s gspröch het der mit heil saigfürt,ds gspröch het dr michael sahli gfüahrt
137,wia langidistucksuacht han het dr jägerdengt und siibcksa agleiteä,wia lang i di scho gsuacht hanhet dr jäger denkt und sini büchsa agleit
138,d koschi schlucht am glichnaia fluskoschie isch bedrucgend,d koshischlucht am gliichnamiga fluss koshi isch beidruckend
139,als rästlicht versterker hend sich wissi betüacher biewärt wo in falrichtig u da al usgleit werden,als restlichtverstärker hend sich wissi betttüacher bewährt wo in fallrichtig vu da aal uusgleit werden
140,und fert gits ihn island gnuag rund opple zo viel wia hünund katza zemma,und pferd gits in island gnuag rund dopplet so viel wia hünd und katza zemma
141,neissaffäckt aa benelugsstata in eatrudr kinosglegend platz a wisdertrinkald,nicea fact zu da beneluxstaata in theater oder kinos kriagen platzaawiiser trinkgeld
142,wa könt aaneh dass strktur vu noterda grettet und din nierer gsandheit bewartzig,ma könnt aneh dass d struktur vu notredame grettet und in ihrer gsamtheit bewahrt sig
143,d schwingerhösa as stargstuck schwiz,d schwingerhosa as starks stuck schwiz
144,sit täg stönd d banander neshnelmoll dr prachtmila vuaschingten parat,sit täg stön d panzer an dr national mall dr prachtmeila vu washington parat
145,warum hend sie eilendlich dütstand ihm aluk,warum hend sie eigentlich dütschland im aug
146,das ghöritz ondraglab wöre klipolitig,das ghöri zu nara glaubwürdiga klimapolitik
147,miar sind zuakunuft und wend mit bestimma seitder si on göstinger,miar sind d zuakunft und wennd mitbestimma seit dr simon köstinger
148,d arssel dobler vu der ftpiktaber üver rast end dütlich hintteram ronnal drino büchel vu der svopetz rug,dr marcel dobler vu dr fdp liggt aber überraschend dütlich hinter am ronald rino büchel vu dr svp zruck
149,dr kadeta spieler hett abeuma genz wiarmün zlovenia soisor schloh,dr kadettaspieler het aber numa gmeint miar müand slowenia sowieso schloh
150,d scho afang sson sig dziverartonalgsi der meistertitel noch zweitusig und swölfiderzgwöa,scho afang saison sig ds ziel für arsenal gsi dr meistertitel noch zweituusigzwölf wieder z gwünna
151,a bevewitera vellsind dlaboruntersachigano usstehen,au bi viar wiitera fäll sind d laboruntersuachiga no uustehend
152,wen d maschina vorsichtig het der janzen hin zsohgfeckt,wend dmaschina vorsichtig het dr janson hinzuagfüagt
153,am suntig vod a mentig sunnigi abschnitt dr neba albewölgt,am sunntig und am mentig sunnigi abschnitt drneba au bewölkt
154,d bilder sind prezise wi e moderni prducktfotografiaiaerixusita,d bilder sind präzise wia moderni produktfotografia mit alta requisita
155,d müa hegend sich aber uszahlt hüt sind sini schof icher,d müaha hegend sich aber uszahlt hüüt sind sini schof sicher
156,geganöberg kaa sturz üs öt si sich ufgrund vum laufenda verfahra nit,geganüber kassasturzüsseret sie sich ufgrund vum laufenda verfahra nit
157,mitder ahavau strvorlag hend  ondesrot ond s parlament überd parteigrenza ussa künna überztüga,mit dr ahvstüürvorlag hend dr bundesrot und ds parlament über d parteigrenza ussa könna überzüüga
158,dia offaena saala vor letsta  seton werdi nomolso richtig strega,dia offena sandala vur letschta saison werd i nomol so richtig uusträga
159,dr eltisch is soun lehon flöhrte t ftig mittira und si ea egt bald sinem starm,dr ältisti sohn leon flirtet heftig mit ihra und sie erliggt bald sinem charme
160,no niae hanismieglustuftiwia hüt gha,no nia han i so wenig lust uf di wia hüt kah
161,ei judr zweimol hani gärtener gseh wu i m rega gschaft hend wobiri mschina gspuckt und gorbst hen,ei oder zwei mol han i gärtner gseh wo im rega gschafft hend wobii ihri mähmaschina gspuckt und gorpst hend
162,i hanmrzalto ahgluk,i han mer ds auto aagluagt
163,es isch gsi als hett imas denkmol vum sokgel gsopft,es isch gsi als hetti ma es denkmol vum sockel gschupft
164,we o pressiars ereichsh no vorsunna ufgang tstos,wenn du pressiarsch erreichsch no vor sunnauufgang d stross
165,i han gerdia da teiamosertiart,i han diar dia dateia mol sortiart
166,si spüt was du  spcsch,sie spürt was du spürsch
167,stuf eschi in abso rute zale geochonoogisch vo öppemilione bes öpe milioneor,d stufe esch en absolute zahle geochronologisch vo öppe millione bes öppe millione johr
168,aberär hed ane leder sproche,aber är hed au ned wedersproche
169,s bekant esch debivell esch sotialkedizistem wo in chinarbrobt werd,s bekanntiste bispel eschs sozialkreditsystem wo en china erprobt werd
170,schläe dreist dass enzüm schnel schadernemt ond e swusini achtibitäb verlüert,s schlächte dra esch dass s enzym schnell schade nemmt ond eso sini aktivität verlührt
171,i aldi rechtih esch danke rode vobise wälderum gäh,i alli rechtige esch dankerode vo wise ond wälder omgäh
172,die che em sch istru gur ändlert schach dre vofo gsetin,di chemischi struktur ähnled starch dere vo fluoxetin
173,dronart esch m on dans einzige profie tadberenne en tütand,d rondfahrt esch momentan s einzige profietapperenne en dütschland
174,är sch ein vode mepe grönder vom jongetüt schwierspbvelln,är esch eine vode metbegrönder vom jonge dütschschwiizer spelfelm
175,i de feräigtde state werd srade zöol a wie nachte oder noaiort tronke,i de vereinigte staate werds traditionell a wiehnachte oder neujohr tronke
176,li anedwonderdesse erbi tomhet igse,d liane hed onderdesse ehri dommheit igseh
177,szöri heist früli g fäst zächsi lite,en zöri heisst s früehligsfäst sächsilüüte
178,fueterepflanter salberah se s zemlech gros nach bulgaresch emarstäb,fuetter pflanzt er sälber ah sine hof esch zemmlech gross nach bulgarische massstäb
179,de biohdi wersität ide schwiz gonznet guet vel dierum flanze arte send gförded,de biodiversität ide schwiiz gohds ned guet vell tier ond pflanzearte send gföhrdet
